,ID,Date,User,Tweet,Media,Hashtags
1336,1346949346772865031,2021-01-06 22:38:44+00:00,JackWho2,"Van Jones: US Capitol riot is treason and rebellion. Period. https://t.co/45nDaL0LX1 via @YouTube Lock Trump up. Now, today...lock Jim Jordan and Ted Cruz today.",,
1337,1346949123895947265,2021-01-06 22:37:50+00:00,Willeamon,Twitter restricts engagement with Trump's labeled tweets amid riots at the US Capitol https://t.co/SnUlWKjSP7,,
1338,1346949117906464770,2021-01-06 22:37:49+00:00,TYAnalysis,"RIOT POLICE IS MOVING THE MOB AWAY FROM THE CAPITOL HILL BUILDING. 

Stay tuned for more...
#Breaking #Trump #Biden #Capitol #Twitter #Social #Trending #WashingtonDC #CapitolBuilding #CapitolHill #Congress #bbcqt #USCapitol #US #NEWS #YorkshireAnalysis
@Twitter @TYANewsOfficial https://t.co/G8KChsD1va","[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/ErFTEqoW8AY0ru_.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/ErFTEqoW8AY0ru_.mp4', contentType='video/mp4', bitrate=0)], altText='Breaking News Logo GIF')]","['Breaking', 'Trump', 'Biden', 'Capitol', 'Twitter', 'Social', 'Trending', 'WashingtonDC', 'CapitolBuilding', 'CapitolHill', 'Congress', 'bbcqt', 'USCapitol', 'US', 'NEWS', 'YorkshireAnalysis']"
1339,1346948749185097728,2021-01-06 22:36:21+00:00,ApadanaFreedom,Twitter restricts engagement with Trump's labeled tweets amid riots at the US Capitol https://t.co/WycbsZiV8D,,
1340,1346948672483835915,2021-01-06 22:36:03+00:00,BirdOwl,Twitter restricts engagement with Trump's labeled tweets amid riots at the US Capitol https://t.co/2kPWjnGZc0 via @CNN https://t.co/v7Z2WiZjcb,"[Photo(previewUrl='https://pbs.twimg.com/media/ErFSrdgUYAAv_ZU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErFSrdgUYAAv_ZU?format=jpg&name=orig', altText=None)]",
1341,1346948170895470594,2021-01-06 22:34:03+00:00,Darragh_Ber,A CBSN reporter just said he's wearing a flak jacket and a helmet at Capitol Hill amid riots from Trump supporters. He said the last time he had to wear such gear was in Iraq. Shocking images and footage coming from the US today. #CapitolHill,,['CapitolHill']
1342,1346948117304909826,2021-01-06 22:33:50+00:00,amstelnews,"Facebook condemned the violent riots at the US Capitol on Wednesday, but stopped short of saying President Trump would be blocked from the social media platform.
 https://t.co/aMiWY7kOCV",,
1343,1346948009775550472,2021-01-06 22:33:25+00:00,JimBook2,"waiting for @gerardtbaker to tell us all how these capitol hill riots are the media's fault and how trump is so wise and innocent. oh, and mr. baker is not ""the media"" because the @WSJopinion is such a beacon of truth. #riots #CapitolBuilding #CapitolHillRiots #CapitolHill",,"['riots', 'CapitolBuilding', 'CapitolHillRiots', 'CapitolHill']"
1344,1346947701850726400,2021-01-06 22:32:11+00:00,Sussex_Jones,"HERALD SCOTLAND: "" Capitol Hill updates: Violent scenes engulf US Capitol as Trump supporters run riot https://t.co/KcvE8hZCh3 ""⬇️ https://t.co/qP8ZlAZJxN https://t.co/nKfxCrXvqp","[Photo(previewUrl='https://pbs.twimg.com/media/ErFRzBxXYAILNy-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErFRzBxXYAILNy-?format=jpg&name=orig', altText=None)]",
1345,1346947685014790144,2021-01-06 22:32:07+00:00,MaganVivien,US representatives plan to impeach Donald Trump for inciting Capitol riots https://t.co/cLgI8Plyo4 via @MetroUK,,
